ticket,symbol,type,volume,open_time,open_price,close_time,close_price,sl,tp,profit,commission,swap,net_profit,reason,bars_held,duration_s,mae,mfe,mae_points,mfe_points,slippage_points,balance_after,equity_after,comment,magic,tag
11,EURUSDz,sell,1.27,2023-08-25 10:00:00,1.07897,2023-08-25 10:10:00,1.07942,1.07939,1.07685,-57.1500000000078,8.89,0.0,-66.04000000000781,SL,1,600.0,-45.71999999998933,0.0,-35.999999999991594,0.0,5.5728168790172745,9874.469999999961,9919.554999999975,fade breakout up,0,short
12,EURUSDz,buy,1.2,2023-08-28 08:45:00,1.08076,2023-08-28 08:50:00,1.08033,1.08035,1.08209,-51.599999999991645,8.4,0.0,-59.999999999991644,SL,0,300.0,-51.599999999991645,0.0,-42.999999999993044,0.0,3.6707488117394824,9814.469999999968,9846.269999999962,fade breakout down,0,long
13,EURUSDz,buy,1.58,2023-08-29 09:15:00,1.08099,2023-08-29 09:20:00,1.08063,1.08065,1.08364,-56.87999999998672,11.06,0.0,-67.93999999998672,SL,0,300.0,-64.77999999996831,3.160000000020702,-40.99999999997994,2.0000000000131024,4.492985265121573,9746.52999999998,9759.959999999997,fade breakout down,0,long
14,EURUSDz,sell,0.9,2023-09-01 12:45:00,1.08562,2023-09-01 12:50:00,1.08617,1.08616,1.08286,-49.50000000000454,6.3,0.0,-55.80000000000454,SL,0,300.0,-167.39999999999756,4.500000000009496,-185.99999999999727,5.000000000010552,-0.5536540724259356,9690.729999999976,9575.979999999983,fade breakout up,0,short
15,EURUSDz,sell,2.01,2023-09-04 11:15:00,1.08064,2023-09-04 21:05:00,1.0797,1.08089,1.07813,188.9399999999881,14.069999999999999,0.0,174.8699999999881,CLIENT,117,35400.0,-20.099999999953152,458.28000000001197,-9.999999999976694,228.00000000000597,5.439598120015424,9865.599999999964,9880.674999999972,fade breakout up,0,short
16,EURUSDz,buy,1.54,2023-09-05 09:15:00,1.07556,2023-09-05 09:25:00,1.07525,1.07526,1.07939,-47.740000000005004,10.780000000000001,0.0,-58.520000000005005,SL,1,600.0,-18.48000000001848,21.560000000004464,-12.000000000012,14.000000000002897,-1.0355096032031592,9807.07999999996,9844.809999999967,fade breakout down,0,long
17,EURUSDz,buy,1.32,2023-09-07 10:30:00,1.07103,2023-09-07 10:35:00,1.0706,1.07063,1.07303,-56.75999999999082,9.24,0.0,-65.99999999999082,SL,0,300.0,-55.43999999998217,0.0,-41.99999999998649,0.0,6.00914762998556,9741.079999999969,9749.659999999965,fade breakout down,0,long
18,EURUSDz,sell,1.47,2023-09-08 14:35:00,1.07264,2023-09-08 15:55:00,1.07077,1.073,1.07077,274.8900000000056,10.29,0.0,264.6000000000056,TP,15,4800.0,-22.04999999998125,255.780000000011,-14.999999999987244,174.00000000000747,3.2159517625143077,10005.679999999975,9978.484999999991,fade breakout up,0,short
19,EURUSDz,buy,1.61,2023-09-11 11:50:00,1.07229,2023-09-11 11:55:00,1.07199,1.07199,1.07414,-48.29999999999468,11.270000000000001,0.0,-59.569999999994685,SL,0,300.0,-61.18000000000757,0.0,-38.0000000000047,0.0,-1.105479000010184,9946.10999999998,9946.914999999985,fade breakout down,0,long
20,EURUSDz,buy,1.6,2023-09-12 11:30:00,1.07136,2023-09-12 11:35:00,1.07102,1.07103,1.07465,-54.400000000001114,11.200000000000001,0.0,-65.60000000000112,SL,0,300.0,-78.40000000001623,0.0,-49.00000000001014,0.0,3.526465415462468,9880.509999999978,9892.50999999995,fade breakout down,0,long
21,EURUSDz,buy,1.9,2023-09-13 10:15:00,1.0732,2023-09-13 12:20:00,1.07291,1.07293,1.07546,-55.09999999998127,13.299999999999999,0.0,-68.39999999998128,SL,24,7500.0,-34.19999999997092,169.1000000000109,-17.999999999984695,89.00000000000573,3.294857395674346,9812.109999999997,9864.36,fade breakout down,0,long
22,EURUSDz,buy,1.69,2023-09-14 10:40:00,1.07342,2023-09-14 11:50:00,1.07313,1.07312,1.07522,-49.01000000002087,11.83,0.0,-60.840000000020865,SL,13,4200.0,-45.629999999998724,55.769999999990105,-26.999999999999243,32.999999999994145,-0.15515507917473748,9751.269999999975,9774.084999999974,fade breakout down,0,long
23,EURUSDz,sell,2.21,2023-09-15 09:40:00,1.06672,2023-09-15 14:05:00,1.06697,1.06695,1.06445,-55.250000000018446,15.469999999999999,0.0,-70.72000000001844,SL,52,15900.0,-33.15000000002089,479.57000000000113,-15.000000000009448,217.0000000000005,3.9864815552671926,9680.549999999956,9878.344999999974,fade breakout up,0,short
24,EURUSDz,buy,0.7,2023-09-18 08:40:00,1.06631,2023-09-18 13:05:00,1.06558,1.06559,1.06778,-51.10000000000836,4.8999999999999995,0.0,-56.000000000008356,SL,52,15900.0,-49.00000000001015,81.89999999999253,-70.0000000000145,116.99999999998933,1.9564324068928451,9624.549999999947,9633.999999999945,fade breakout down,0,long
25,EURUSDz,sell,1.85,2023-09-21 08:15:00,1.06577,2023-09-21 08:20:00,1.06601,1.06602,1.06328,-44.39999999996225,12.950000000000001,0.0,-57.34999999996225,SL,0,300.0,-109.14999999997565,5.550000000036359,-58.999999999986834,3.000000000019653,-2.5396241695549793,9567.199999999984,9531.124999999993,fade breakout up,0,short
26,EURUSDz,sell,2.27,2023-09-22 14:45:00,1.06679,2023-09-24 22:00:00,1.0648,1.06699,1.06151,451.7299999999855,15.89,0.0,435.83999999998554,CLIENT,85,198900.0,-4.539999999979338,642.4099999999746,-1.9999999999908977,282.9999999999888,0.432716781201099,10003.03999999997,10013.254999999985,fade breakout up,0,short
